Dish Name,Description,Spice,Prep Time,Views,Rating,Number of Votes,Serves,Dietary Info,Cook Time,Ingredients,Instructions
Cauliflower Shorba,Cauliflower Soup,mild,Prep 10 mins,32101,3.8,27,4,['VEGETARIAN'], 30 mins,"1) 2 tbsp oil
2) 1 bay leaf
3) 6 cloves of garlic, sliced
4) 1 green chilli
5) 1 tsp salt
6) 1 small cauliflower, chopped
7) 750ml water
8) 1 tsp cumin, roasted and roughly crushed
","1) Heat oil and add a bay leaf. Stir in the garlic and sauté until brown.
2) Roughly chop the chilli and add to the pan.
3) Add the chopped cauliflower and salt then cover with the water and bring to the boil. (You could use a stock.)
4) Leave to simmer for about 20-30 minutes until the cauliflower is soft.
5) Remove the bayleaf and blitz the soup in a liquidiser.
6) Return to the stove and simmer for 5 minutes.
7) Serve in small bowls topped with a sprinkling of roasted cumin seeds.
"
Chana Masala,Tea-Infused Chickpea Curry,medium,Prep 10 mins,64990,3.5,76,6,['VEGETARIAN'], 30 mins,"1) 300g dried chickpeas (or 400g tin of cooked)
2) 1 black tea bag
3) 4cm piece ginger
4) 2 green chillies
5) 2 medium tomatoes
6) 1 tbsp rapeseed oil
7) 2 medium onions, thinly sliced
8) 3 cloves of garlic, sliced
9) 1 tsp Kashmiri chilli powder
10) 1 tsp coriander powder
11) 2 tsp cumin seeds
12) 2 tsp pomegranate powder
13) ½ tsp black salt
14) salt to taste
15) ½ tsp garam masala
16) 1 tbsp lemon juice
17) Fresh coriander, roughly chopped for garnish
18) 1 tsp chaat masala
","1) Soak the dried chickpeas in about 1.5L of water overnight.
2) Drain and place in a large saucepan with fresh water. Add the tea bag and bring to a boil. Reduce the heat and leave them to simmer for 1½ hours until the chickpeas are tender.
3) Drain, discard the tea bag but keep the cooking liquid.
4) Mash a few of the chickpeas with a potato masher.
"
Chapli Kebabs,Tangy Beef Patties,medium,Prep 10 mins,67920,4.0,42,4,['LACTOSE-FREE'], 10 mins,"1) 500g ground beef
2) 4 tbsp whole wheat flour
3) 1 medium onion, finely chopped
4) 1 tsp chilli powder
5) 1 tsp cumin seeds
6) 1 tsp garam masala
7) 1 tsp salt
8) Handful fresh coriander, chopped
9) 2 green chillies, finely chopped
10) 1 tbsp coriander seeds, crushed
11) 1 tsp anardana (pomegranate seeds)
12) 2 medium tomatoes,chopped
13) Oil for frying
","1) Place the minced beef into a bowl.
2) Crush the coriander, cumin and anardana seeds in a pestle and mortar or in a spice grinder and add to the bowl.
3) Sprinkle in the flour and add the chopped onions, chopped chillies, tomatoes, coriander, garam masala, salt and chilli powder.
4) Mix ingredient to combine all the flavours and form the mixture into flat patties about 1cm thick.
5) Heat the oil in a pan and shallow fry them for about a minute then turn them over. Once cooked through place on some kitchen roll and serve with fresh naan, a red onion salad and yoghurt.
"
Chicken Balti,Chicken Balti,hot,Prep 20 mins,285630,3.4,527,4,['LACTOSE-FREE'], 40 mins,"1) 3cm ginger
2) 6 garlic cloves
3) 2 tomatoes, quartered
4) 1½ tsp garam masala
5) 1½ tsp cumin seeds, crushed
6) 1 tbsp coriander seeds, crushed
7) 1 tsp turmeric
8) 1 tsp Kashmiri chilli powder
9) 1 tbsp full-fat Greek yogurt
10) Salt, to taste
11) 2 tbsp rapeseed oil
12) 1 tsp brown mustard seeds
13) 1 bay leaf
14) 1 onion, finely chopped
15) 6–10 whole green chillies, (reduce if this is too many for you)
16) 500g boneless chicken thigh fillets, cut into bite-size chunks
17) Black peppercorns, freshly ground
18) 1 tbsp lemon juice, or to taste
19) Large handful of finely chopped, fresh coriander leaves
","1) Blend together the ginger and garlic in a pestle and mortar or blender and set to one side.
2) Grind the cumin and coriander seeds and set to one side.
3) Blend the tomatoes to a paste and stir in the ground spices, garam masala, turmeric, Kashmiri chilli powder, yoghurt and salt.
4) Heat the oil in a non-stick saucepan (or karahi if you have one) and add the mustard seeds.
5) Once the mustard seeds pop, add the bay leaf and chopped onion.
6) Stir and cook on a medium heat. After about 15 minutes add the minced ginger and garlic with the green chillies for at least 20-30 minutes until the onions are well browned. If the onions catch, add a splash of water and continue to cook the onions.
7) Stir in the blended tomatoes, spices and yoghurt mix. Turn the heat up and stir until the mixture thickens and you are left with a thick masala paste (10-15 minutes).
8) Add the chicken pieces and stir into the thick masala to coat it.
9) Reduce the heat and place the lid on the pan. Leave to cook for about 20 minutes, stirring every now and again.
10) The chicken will produce a lovely thick gravy. Once the chicken is cooked through you can adjust the consistency of the sauce to your preference. To loosen, just add a little hot water, or to reduce it and make it thicker, cook further on a high flame.
11) Once cooked, add some black pepper and a squeeze of lemon, then check the seasoning.
12) Stir in the chopped coriander and serve.
"
Chicken Burrito,Chicken Chaat Roti,medium,Prep 10 mins,45609,3.4,21,4,['HEALTHY'], 20 mins,"1) 260g Roti flour
2) ½ tsp salt
3) 2 tsp oil
4) 50g big handful of spinach
5) 100ml warm milk
","1) Heat water in a pan and add spinach. Blanch for a minute then remove and rinse under cold water.
2) Place the cooked spinach into a blender and add the milk. Blitz to a puree and set to one side.
3) In a bowl, mix flour, salt and oil together. Pour in the spinach and puree a little at a time and knead to make a soft dough.
4) Cover the dough with a damp cloth and leave to rest for 20 minutes.
5) When ready to cook, heat your tava or frying pan to a medium heat.
6) Roll out the roti and place on the pan to cook. Once it changes colour a little, turn and cook the other side. Place in a tea towel to keep warm.
"
Chicken Chaat,Tangy Shredded Chicken,hot,Prep 10 mins,82282,4.0,47,4,['DAIRY-FREE'], 10 mins,"1) 4 chicken thighs, skinned and trimmed
2) 3 cloves garlic
3) 1 tsp salt
4) 1 tbsp vegetable oil
5) 1 onion, finely diced
6) 2 green chillies, finely chopped
7) 2-4 tbsp tamarind water, or juice from 1 lemon
8) 1 tsp red chilli powder
9) 1 tsp mango powder (amchoor)
10) Handful of fresh coriander, chopped
","1) Place chicken in a pan and cover with water, add the garlic cloves, salt and place on a gentle heat.
2) Cook for about 10 minutes and remove from the water and leave to cool. Retain the water as stock.
3) Heat the oil in a pan and add the onions, cook gently until browned.
4) Add the green chilli, salt to taste and pour in the tamarind water with a little of the stock water from the chicken.
5) Cook gently and let the sauce reduce. Add a little more stock and cook to thicken. After about 5 minutes add both the chilli and mango powders.
6) Once the chicken has cooled, shred it using two forks and add to the sauce.
7) Stir to coat and leave to cook for a few minutes.
8) Remove from the heat and sprinkle in the garam masala and a handful of fresh coriander.
"
Chicken Salad with Pink Grapefruit and Cumin Dressing,Spicy Chicken Salad,mild,Prep 10 mins,29379,4.1,16,4,['HEALTHY'], 15 mins,"1) 4 chicken thighs, trimmed
2) 5cm piece ginger
3) 3 cloves of garlic
4) 1 pink grapefruit, juice
5) 1 tbsp oil,
6) 1 tsp chilli powder
7) 1 tsp garam masala
8) salt to taste
","1) Heat the oven to 180ºC.
2) Cut the chicken into chunks and set to one side.
3) Crush the ginger and garlic in a pestle and mortar and place in a bowl.
4) Squeeze in the juice from the grapefruit and pour in the oil, chilli powder, garam masala and salt.
5) Mix the chicken to marinade for a few minutes then place onto a baking sheet and cook in the oven for 15-20 minutes until cooked through.
6) Meanwhile, mix the dressing ingredients with juice from half the grapefruit in a jam jar and shake to mix.
7) With the other half of the grapefruit slice out the segments.
8) Once the chicken is cooked leave to cool.
9) Put the salad leaves into a bowl and dress with the dressing then place the pieces of chicken onto the salad with the segments of grapefruit.
10) Sprinkle over the mint and coriander and serve.
"
Chole Bhatura,Tangy Chickpeas and Fluffy Bread,medium,Prep 10 mins,32149,3.7,40,6,['VEGETARIAN'], 20 mins,"1) 400g tin of chickpeas
2) 2 black teabags in mug with boiling water poured over
3) 5cm piece tamarind, soaked in about 100ml boiling water
4) 1 tbsp ghee
5) 1 tsp cumin seeds
6) 2 medium onions, thinly sliced
7) 4 cloves of garlic, sliced
8) 4cm piece ginger, grated
9) 2-3 green chillies, sliced lengthways
10) 400g tin of plum tomatoes
11) 1 tsp Kashmiri chilli powder
12) 1tsp turmeric
13) 1 tsp coriander seeds, crushed
14) 2 tsp cumin seeds, crushed
15) ½ tsp black salt
16) Salt to taste
17) ½ tsp garam masala
18) 1 tbsp lemon juice
19) 1 heaped tsp amchoor / chaat masala
20) Fresh coriander, roughly chopped for garnish
","1) In a heavy-bottomed saucepan, heat the ghee and add the cumin seeds. Once they sizzle and the sliced onions and cook for 5-10 minutes until they turn golden.
2) Stir in the sliced garlic and keep stirring until it starts to change colour. Add the ginger and sliced chilli.
3) Fry for a minute and then add the tomatoes and tea water before sieving in the tamarind water. Leave this to simmer away and cook down until the tomatoes and onions start to combine to create a thick masala.
4) Add the chilli powder, ground coriander, cumin and turmeric. Stir for a few minutes until the masala is aromatic and thick.
5) Drain the water from the tinned chickpeas and place into the masala. Add a little water and leave to cook on a gentle heat for 5-10 minutes.
6) Sprinkle in the black salt and leave to cook for about 5 minutes.
7) Keep an eye on the pan and stir every few minutes. Add more liquid if required.
8) Check the seasoning and adjust if required. Make sure the chickpeas are nice and soft and the sauce is thick.
9) Add the garam masala and a good squeeze of fresh lemon juice and sprinkle over the amchoor.
"
Corn and Pomegranate Kachumber,Corn and Pomegranate Salad,mild,Prep 10 mins,37660,3.7,31,2,['VEGETARIAN'],,"1) 300g tin sweetcorn
2) ¼ of a cucumber, peeled and diced
3) 2 tomatoes, diced
4) crunchy corn (bought from supermarkets)
5) handful of pomegranate jewels
6) handful of pea shoots
","1) Wash the corn and leave to dry.
2) Mix all the dressing ingredients in jam jar and shake to mix all the flavours together. Set to one side.
3) Place in a bowl the corn with the diced cucumber and diced tomatoes.
4) Sieve the dressing over the salad and toss it together.
5) Sprinkle in the pea shoots and finally, sprinkle the crunchy corn and pomegranate on top and serve.
"
Cucumber Raita,Cucumber Yoghurt,,Prep 5 mins,74026,3.1,71,4,['VEGETARIAN'],,"1) ½ cucumber (more if you want)
2) 200ml low-fat natural set yoghurt (I also like to use Greek yoghurt)
3) 1 tsp garam masala
4) 1 tsp Kashmiri chilli powder
","1) Carefully grate the cucumber, leaving the skin on.
2) Either using a cloth or just your hands, squeeze any excess liquid from the cucumber.
3) Once it is drained place in a small bowl.
4) Add the yoghurt and garam masala and stir the cucumber through.
5) Sprinkle the chilli on top to serve.
"
Curried Butternut Squash Soup,50 mins,hot,Prep 10 mins,62855,3.8,59,4,['VEGETARIAN'], 40 mins,"1) 1 butternut squash
2) 1 red onion, chopped
3) 1 tsp cumin seeds
4) 2 garlic cloves, chopped finely
5) 3cm piece ginger, grated
6) 2 red chillies, chopped (keep some for garnish)
7) 500ml water or chicken stock
8) 50ml coconut cream
","1) Slice the squash into four long strips, remove the seeds and place on a tray with a little knob of butter on each and roast at 180°C for about 35 minutes until soft.
2) Meanwhile heat some oil and add cumin seeds until fragrant, then add onions and cook gently until soft.
3) Stir in the garlic and ginger and chilli and cook gently for about 5 minutes.
4) Once the squash is soft scrape the flesh out and discard the skin. Stir the flesh into the onions.
5) Add the stock and cook through until everything is soft (about 5 minutes).
6) Using a hand blender blitz the soup until it's smooth and thick. Pour in the coconut cream and if it's too thick add a little hot water.
7) Pour into bowls and top with a swirl of coconut cream and a chopped chilli. Serve with some crisp naan bread.
"
Dal Bhat,Nepalese Lentil Soup,mild,Prep 10 mins,7533,0.0,0,4,['VEGETARIAN'], 20 mins,"1) 2 tbsp ghee or oil
2) 1 onion, finely chopped
3) 2 garlic cloves, minced
4) 5cm piece of ginger, grated
5) 1 tsp coriander seeds, crushed
6) 1 green chilli (optional)
7) ½ tsp red chilli powder
8) ½ tsp turmeric
9) 200g red lentils, washed
10) 700ml water
11) 1 tsp salt
","1) Heat the ghee or oil in a large frying pan and cook the onions until translucent but not brown.
2) Turn the heat to low and add in the garlic, ginger, chopped chilli (if using) crushed coriander seeds, red chilli powder and turmeric. Stir to combine for about 3 minutes or so.
3) Add the red lentils and mix with the onion mixture.
4) Pour thd water in and bring it to a boil, add the salt and reduce heat to a simmer for about 15 minutes or until the lentils are tender.
5) Remove from the heat and stir in the fresh coriander.
"
Dhal Makhani,Buttery Black Lentil Dhal,medium,Prep 10 mins,161617,3.9,78,4,['VEGETARIAN'], 30 mins,"1) 100g dry urid dhal (whole black lentils)
2) 25g dry rajma (kidney beans)
","1) Clean, wash and soak the black lentils and kidney beans separately, overnight.
2) Drain and keep aside. Combine the two dhals and add 2 cups of water with a little salt and put into a pressure cooker and cook for about 25 minutes until they are cooked and soft. (DO NOT REMOVE the lid of the pressure cooker until fully cooled and pressure has been released.)
3) Heat the oil in a pan and add cumin seeds.
4) When the cumin seeds crackle, add chopped onions and garlic.
5) Fry the onion until golden brown over a medium flame.
6) Stir in the tomato purée, add the turmeric, chilli powder, ginger, green chillies and crushed coriander.
7) Cook for a few minutes so the onions and tomatoes melt together.
8) Add the cooked dhal and 1 cup of water and season with a little salt to taste.
9) Leave to simmer for 15 minutes until it is lovely and thick. (Take care as it may catch on the bottom of the pan.)
10) Stir in the butter, garam masala and fenugreek to make the dhal rich and delicious.
11) Garnish with a sprinkle of fresh coriander and serve.
"
Easy Chicken Curry,Chicken masala,medium,Prep 10 mins,125120,3.6,174,4,['DAIRY-FREE'], 30 mins,"1) 2 tbsp oil
2) 400g chicken thigh fillets, trimmed and chopped
3) 2 large onions
4) 1 tsp salt
5) 3 cloves of garlic
6) 3cm fresh ginger
7) 1 or 2 green chillies
8) 200g plum tomato tin, pureed
9) ½ tsp turmeric powder
10) ½ tsp red chilli powder
11) 1 tsp garam masala powder
12) Large pinch of fresh coriander, chopped
","1) Blend the onions in a food processor.
2) Heat oil in a pan and sauté the onion paste. If it starts to stick, just add a little water and stir.
3) Stir in the salt to help the onions cook.
4) Put the ginger, garlic and chillies into a blender and blend to a paste (add a little water if required)
5) After 10 minutes of cooking the onions they should have browned a little. Now stir in the garlic, ginger and chilli paste.
6) Once softened add the pureed tinned tomatoes and increase the heat until the tomatoes start to simmer.
7) Reduce the heat and add the turmeric, chilli powder and garam masala. Cook together until the tomatoes and onions start to break down and the masala dries up and becomes paste-like.
8) Add chicken pieces into the masala. Stir well and cook for a few minutes. Reduce the heat to the lowest setting and put the lid on the pan. Leave to cook for about 15-20 minutes, stirring intermittently.
9) The chicken should be cooked through. To add a little more gravy pour in some hot water and stir before removing from the heat.
10) Check the seasoning and adjust if you need to. Sprinkle in the coriander and stir.
11) Serve with plain rice or roti.
"
Fennel and Seafood Salad,30 mins,mild,Prep 20 mins,25739,4.8,13,4,['LACTOSE-FREE'], 20 mins,"1) 200g raw prawns
2) ½ tsp chilli powder
3) salt to taste
4) 200g raw squid
5) ½ tsp turmeric
6) 1 fillet of salmon, skinned and chopped into chunks
7) ½ tsp chaat masala
8) salt
9) 1 bulb of fennel
10) 1 ripe nectarine, sliced
11) handful fresh coriander, chopped
","1) Sprinkle the chilli powder and salt on the prawns and griddle or fry in a pan until cooked through and set to one side.
2) Sprinkle the squid with the turmeric and salt and fry until cooked through.
3) Coat the fish with the chaat masala and place on an oven tray and cook at 180C for 5 minutes.
4) Slice the fennel very finely and sprinkle with a little oil and griddle.
5) Mix all the ingredients for the dressing and leave to one side.
6) Place fennel into a bowl and sprinkle with coriander leaves, the cooked seafood and then pour over the marinade and toss together.
7) Slice the nectarine and place into the bowl and serve.
"
Fennel and Tomato Shorba,Fennel and Tomato Soup,medium,Prep 10 mins,21093,4.5,20,4,['VEGETARIAN'], 20 mins,"1) 2 tbsp oil
2) 1 tsp fennel seeds
3) 5 cloves of garlic, sliced
4) 2 green chillies
5) 1 tsp salt
6) 400g ripe tomatoes, roughly chopped
7) fresh coriander, 1 handful
8) approx 750ml water
9) 1 tsp fennel, roasted and roughly crushed for the garnish
","1) Heat oil and add the fennel seeds, when they sizzle add the garlic and cook until it starts to brown.
2) Throw in the whole green chillies and the salt.
3) Add the chopped tomatoes and increase the heat to start them cooking.
4) Pour over enough water to just cover the tomatoes and bring to a boil then add in the coriander.
5) Leave it to simmer for 15-20 minutes.
6) Blitz with a hand blender until smooth.
7) Return to the stove for 5 minutes then pour into serving bowls or cups.
8) Sprinkle with roasted fennel serve.
"
Goan Fish Curry,Goa di Machchi,hot,Prep 30 mins,222310,3.2,235,4,['LACTOSE-FREE'], 20 mins,"1) 600g skinless white fish fillets, chopped into chunks
","1) Mix the salt, lemon juice and turmeric powder and rub over the fish chunks and leave to marinate for 30 minutes.
2) Soak the dried chilli in 250ml of warm water for 15 minutes. Drain and reserve the water.
3) Make up the spice paste by placing the soaked chillies, coconut, coriander seeds, chopped onion, cumin seeds, turmeric powder, garlic, tamarind extract and two tablespoons of the reserved soaking water in a blender and process to make a smooth paste.
4) Heat oil in a shallow wide based pan and add the sliced onion and fry to soften - do not brown. Add the spice paste and cook until golden brown. You may need a splash of water to ensure the paste doesn't burn.
5) Once aromatic stir in the tomato purée and fresh chillies and cook for a further five minutes.
6) Add water (or coconut milk if you prefer) to create a lovely sauce, bring to the boil and cook for a few more minutes.
7) Reduce the heat and gently place the marinated fish with any juice into the pan and cook for between five and seven minutes until the fish is soft.
8) Sprinkle with coriander to serve.
"
Gol Guppa,Pani Puri,medium,Prep 40 mins,84891,4.2,24,6,['VEGETARIAN'], 15 mins,"1) 200g fine semolina
2) 4 tbsp plain flour, plus some for dusting
3) Salt, pinch
4) Black pepper, pinch
5) 130ml sparkling water
6) Vegetable oil for frying
","1) To make the puris, place the semolina, flour, a pinch of salt and pepper into a bowl, and gradually add the sparkling water.
2) Stir continuously until the mixture comes together and forms a soft dough. Place into a bowl that has been dusted with flour and cover with a damp tea towel for about 30 minutes.
3) Place a large, deep pan or a wok on a gentle heat and pour in the vegetable oil and allow it to get really hot.
4) Separate the dough into 4 bits and roll it out so it's thin (about 1mm thick). Using a 5cm cutter cut out as many circles as you can. Or take small grape sized balls of the puri dough and roll into a ball with your hands. On a floured surface roll it out to make thin, flat circles, about 5-6cm across.
5) To test if it's hot enough, drop a tiny piece of dough into the pan – if it floats to the surface and starts to sizzle, it's ready.
6) Very gently slide in one circle of puri dough and fry for 2 to 3 minutes. Then using your spoon to push them under the oil, then carefully flip them over and continue cooking for 1-2 minutes, until it's golden and crisp. Transfer to a kitchen paper to drain, and repeat with the remaining dough.
"
Green Chilli Sauce,Hot Green Sauce,hot,Prep 5 mins,110923,3.5,58,,['VEGETARIAN'], 20 mins,"1) 100g large green chilli (mild)
2) 100g rocket green chilli (hot)
3) 175ml white vinegar
4) 2 tsp cumin seeds
5) 5 cm root ginger
6) 1½ tsp salt
7) 2 pinches asafoetida
8) 3 tbsp oil
","1) Put some kitchen gloves on and wash the green chillies. Remove the stems and cut it into large chunks.
2) Wash the ginger and cut it into small bits.
3) Heat oil in a pan then add the cumin seeds and asafoetida until fragrant.
4) Add the green chillies and ginger to the pan stir in the salt and cook for 2 minutes.
5) Pour in 70ml water and put the lid on the pan - leave to cook for about 15 minutes on a gentle heat stirring occasionally.
6) Once soft (after about 15 minutes) take the lid off and leave to reduce for a few minutes then remove from the heat and leave to cool.
7) Pour into a blender and blitz. Pour in the vinegar a little at a time and blend.
8) Once ready store the chilli sauce in a clean, dry jar. This will keep for 2-3 months.
"
Gurkha Chicken Curry,Nepalese chicken curry,mild,Prep 2 hrs 10 mins,21503,3.0,93,4,['WHEAT-FREE'], 1 hr,"1) 5 green cardamom pods
2) 1 tsp fennel seeds
3) 1 tbsp ginger, roughly chopped
4) 3 garlic cloves, roughly chopped
5) 150g Greek yoghurt
6) 8 pieces of chicken, thigh and drumsticks skinned
7) 2 tbsp rapeseed oil
8) 2 onions, sliced
9) 2 tsp cumin seeds
10) 4 cloves
11) 7cm stick of cassia bark
12) 2 bay leaves
13) 1 tsp turmeric
14) ½ tsp mace, ground
15) ¼-1 tsp Kashmiri chilli powder
16) 4 medium tomatoes, chopped
","1) Toast the cardamom pods with the fennel seeds until fragrant. Remove from the pan and let them cool.  Crush with a pestle and mortar and remove the husk.
2) Add the ginger and garlic to the pestle and mortar and bash the to make a paste.
3) Put the yoghurt into a large bowl and add the spice paste with the salt and stir to combine everything.
4) Add the chicken and coat it all over, leave it to mariante for at least 2 hours.
5) When you are ready to cook heat the oil in a large oven-proof pan.
6) Remove the chicken and scrape off the excess marinade back into the bowl, reserve this for later.
7) Add the chicken to the pan and fry for 5 minutes on one side until brown, then turn it over and cook for another 4-5 minutes.
8) Remove the chicken from the pan and set to one side.
9) Add a little more oil and add the cumin seeds, cloves, bay and cassia bark to the pan. When the spices are fragrant add the onions and saute for about 10 minutes until they turn golden brown.
10) Add the turmeric, mace and chilli powder and cook for a further 1 minute.
11) Add water (approx 250ml) to the pan and simmer for 2-3 minutes until it’s reduced.
12) Mix the chopped tomatoes in with the remaining marinade and add it all to the pan.
13) Stir and then add the chicken back to the pan. Simmer on a low heat for 40 minutes or place in the oven at 180ºC for the same amount of time.
"
Halibut with Indian spices,1 hr 16 mins,medium,Prep 10 mins,90434,3.7,63,4,['LACTOSE-FREE'], 6 mins,"1) 2 tsp cumin seeds
2) 2 tsp coriander seeds
3) 2 tsp fennel seeds
4) 4 cloves
5) 1 tsp turmeric
6) ½ tsp chilli powder (add more for more heat)
7) 4 halibut fillets or steaks (approx 140g each)
8) 1-3 tbsp mustard oil
","1) In a dry cast-iron pan, toast the cumin, coriander, fennel, and cloves over medium heat until fragrant, about two minutes. Leave to cool for a few minutes.
2) Transfer to a spice grinder or a mortar and grind to a fine powder. Put the ground spices in a small bowl and add the turmeric and chilli powder.
3) Lay the halibut on a baking sheet and season with salt and pepper. Drizzle with the mustard oil. Sprinkle the spice mixture over the fish, then massage it in. Cover and refrigerate for an hour. Bring the fish to room temperature before cooking.
4) Fry the halibut for 3 minutes on each side, until it's just opaque throughout. You can also cook the fish under a grill or baked it in the oven at 180°C for 10 minutes.
"
Indian Slaw,Spiced Coleslaw,medium,Prep 10 mins,18140,4.0,16,4,['VEGETARIAN'],,"1) 2-3 medium carrots, peeled and coarsely shredded
2) half a white cabbage, cored and finely shredd
3) 1 red onion, halved and finely sliced
4) 3 tbsp Greek yogurt
5) 2 tbsp mayonnaise
6) Juice of half a lemon,
7) ½-1 red chilli (or to taste), finely sliced
8) ½ tsp cumin seeds, toasted
9) ½ tsp Kashmiri chilli powder
10) 1 tsp turmeric
11) ½ tsp salt (or to taste)
12) handful of fresh coriander, chopped
13) 40g cashews, toasted
","1) In a large bowl, mix the carrots, cabbage and onion.
2) Toast the cumin seeds in a dry pan until aromatic and keep to one side
3) Toast the cashew nuts until golden and set a side.
4) Mix the yogurt, mayonnaise, lime juice, chopped chilli, toasted cumin seeds, turmeric, chilli powder, salt and tip into the shredded veg mix. Stir to mix everything together.
5) Stir in half the coriander and half the cashews. Top with remaining coriander and cashews just before serving.
"
Indian Summer Greens,20 mins,mild,Prep 10 mins,50226,3.6,60,6,['VEGETARIAN'], 10 mins,"1) 1 tbsp butter
2) 1 tsp cumin seeds
3) ½ tsp mustard seeds
4) 4 green chillies, finely chopped
5) 4cm piece root ginger
6) ½ tsp turmeric
7) 500g summer greens, shredded
8) 100g peas / blanched broad beans
9) 1 lemon
10) 2 tbsp coconut, grated
11) 1 tsp garam masala
","1) Heat the butter in a large non-stick pan or wok, sizzle the cumin and mustard seeds until fragrant, then add the chilli, ginger and turmeric.
2) Fry until aromatic, then add the greens, a pinch of salt, a splash of water and the peas or broad beans.
3) Cook for 4-5 mins until the greens have wilted.
4) Add a squeeze of lemon juice, garam masala and the coconut, then toss everything together to serve.
"
Jamaican Chicken Curry,Chicken Curry,medium,Prep 10 mins,12179,3.4,22,4,['LACTOSE-FREE'], 30 mins,"1) 1 whole chicken, cut into pieces or 8 pieces of chicken on the bone, skinned
2) 1 tsp salt
3) 1 tsp ground black pepper
4) 1 tsp all purpose seasoning
5) 1 tsp chicken seasoning
6) 1 tsp curry powder
7) 2 tbsp vegetable oil
8) 3 spring onions
9) 1 medium onion
10) 4 springs of fresh thyme
11) 3 garlic cloves
12) 1 whole scotch bonnet pepper
13) 2 tsp curry powder
14) 1 large carrot, 5cm chunks
15) 2 potatoes, 5cm cubes
","1) Mix the marinade ingredients and rub all over the chicken pieces, leave to one side for a couple of hours.
2) Heat vegetable oil in a saucepan over medium heat, adding garlic, onion, spring onion and scotch bonnet pepper and stir for 3 minutes.
3) Add 2 tsp of curry powder and cook for further 5 minutes.
4) Add marinated chicken and brown for 10 minutes, turning chicken and browning for a further 5 minutes.
5) Add carrots and potato with a cup of water and cook through until the vegetables are tender.
"
Jeera Chaul,Cumin and Pea Rice,,Prep 10 mins,67651,4.1,29,4,['VEGETARIAN'], 15 mins,"1) 1 tbsp oil
2) 1 tsp cumin seeds
3) 1 small onion, finely sliced
4) 200g/1 mug Basmati rice
5) 50g frozen peas
6) 500ml/2 mugs full, cold water
","1) Wash the rice until the water runs clear. I do this by covering the rice with water and running my hand through it, pouring the starchy water away then refilling with cold water and repeating until the water runs clear. Strain in a sieve and leave.
2) In a wide based pan heat the oil and add the onions and fry until translucent.
3) Add the whole cumin seeds. When they sizzle and become fragrant stir in the frozen peas
4) Add the washed rice, stir to coat with the oil then pour in 500ml of water (twice the amount of water to rice).
5) Bring the water to a vigorous rolling boil, reduce the heat to the lowest setting and place the lid on the pan.
6) Leave to cook for 12 minutes do not remove the lid - be patient!
7) After 12 minutes remove from the heat and take the lid off. Leave to sit for a couple of minutes. All the water will all be absorbed and the rice will be light and fluffy.
8) Gently fork through the rice (never dive straight in) and serve.
"
Jeera Pani,Cumin soda water,none,Prep 5 mins,30233,3.9,13,6,['VEGETARIAN'],,"1) Handful of mint leaves
2) 2 litres soda water
3) 1 tsp toasted ground cumin
4) ½ tsp ground black pepper
5) Juice of 2 limes
6) Good pinch of sea salt
7) 1 heaped tbsp sugar
","1) Bash the mint leaves between your palms to release their flavourful aroma, then place in a jug with the soda water, cumin and black pepper.
2) In a dish or using a pestle and mortar, mix together the lime juice, salt and sugar until the sugar has dissolved.
3) Add the sugar mixture to the soda water, stir until well combined (or use a blender if preferred) and serve, with or without ice, in long glasses on hot days.
"
Jeera Raita,Cumin Yoghurt,mild,Prep 5 mins,30977,3.6,7,4,['VEGETARIAN'], 5 mins,"1) 200ml natural set yoghurt
2) A splash of milk
3) 1 tbsp cumin seeds
4) ½ cucumber, cubed
5) 1 large tomato, cubed
6) ½ red onion, very finely diced
7) ½ tsp salt
8) 1 tsp chilli powder
9) 1 tsp garam masala
10) Coriander to garnish
","1) Heat a non-stick frying pan, add the cumin seeds and dry roast gently.
2) Stir until they turn a shade darker and release their musky aroma.
3) Remove and crush the seeds in a pestle and mortar.
4) Put the yoghurt in a large bowl and add enough milk to get a runny consistency.
5) Add the chopped tomatoes, cucumber, onion, salt and cumin.
6) Stir together. Sprinkle on the chilli powder and garam masala.
7) Garnish with coriander sprigs and refrigerate until required.
"
Kachumber Salad,"Tomato, Onion and Cucumber Salad",medium,Prep 20 mins,50816,3.2,75,4,['VEGETARIAN'],,"1) 1 small red onion
2) ½ cucumber
3) 1 tomato
4) Fresh coriander leaves
5) 1 lemon
6) 1 tsp salt
7) ½ tsp garam masala
","1) Cut the onions, cucumber, tomato into a very fine dice and place into a bowl.
2) Finely chop the coriander and place into the bowl.
3) Squeeze in the lemon and sprinkle in the salt and garam masala - stir and serve.
"
